ID,Name,ManagerFullName,Group,Image
1,Germany,Julian Nagelsmann,A,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/2560px-Flag_of_Germany.svg.png
"2,Scotland,Steve Clarke,A, data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASIAAACuCAMAAAClZfCTAAAAOVBMVEUAXrj///8AWrcAVrUAULMATrMAXLiBo9R+odP7/f62yeXf6PRAecIATLIAWbd9oNM+eMLi6/WtwuJLESPuAAAE0klEQVR4nO2d61LjMAyFnZQC5Q7v/7DbnWUQLBlLsmX7SKPvN1MSpcc6cmS1bCwft6cSlNP+wd9/4f9ku9w976tvZgT7+f4iuH1JiLbt/elm9f3Yc/P0KLp5WYi27aEEU9vp9kF469IQbZf7SGrbn0Ua04UolNqkGtOG6Kq2PYTaTi9SjelDtG13Z/dqu+Yx3T0rQ7Q9elebSmNNIbqqzbOTVGqsMUSO1bafX8V5rC9EXnPbzZtWY+0hcqk2uVe0CZG7uk3jFY1CdFXbmyO1NWqsM0SO1Nasse4QOVHb/tySx4xC5CK36b2ibYjg1dbiFa1DBO0khfuKTIgEm7ccsHVbt8b+8mHzMQ8vgGo77d0a+1xsO0zVN+DUZqKxr5TdZxs+AVNbj1f84nsqMv/Axdho7Gf5YPu1XIzJ0nH5vXTYLW6rsZHE4TZ9DLWNXVj382v/p69Vm016vq+kZwO7vlRtU0yezT9Zo7ZZD7htC/w/VqjNJo/VNEb4dJKTv/42/27m2+35i2jvRt0/ptVtNsZX2/riSW02hq6hgcqLkzR5mI1GxUVuG+8V6+CrDcDGLZO5CIxHCFy3rdYYgVq3QZk3AMH/AkNjhEluM/lKo15QQXtoiF9rs8uykD7q4giTQIBTbMFQG7ZRK+sXAYSHxLFUbS6KxrKysPay9WB2qdrlwIPGiAWbfM62Qct8a4JjyhTMzG2+NEZMe23lJY8dMUdtq61YJ+NfoePWY1IGO0nsekzKyKXUkVesM6opLE7b3KDWwlDNl2VEg2oYjRG2t+TVK9YxFEbQ4wTFbnmNeyilWB3ciXy0yUht/SBqjDApGPrAymNHmKitHRCvWMdmg7ANIK9Yx8TWtICvMcLESWpxoTHCxv5pcKMxYrLaPGmMmKg2ZxojbBqlBGB7xTpTnKRPjRHDnSRwPSZFPUZRh2eNEQPVFmRcaRmmNrd57IgRTjLW6OQywEmGG8BdjNUWSmOE3Z6kw3pMiugHE3gC/6REhogjhcaRyzVDJn2GtI4cWYAwZBnLkJshHLmlxpAbswy5vc+RL4kY8lUjQ76w5si2B4ZsnmHIFiyObORjyHZQhmwq5sjWdIY84MCQx2Q48rAVQx7ZY8iDnxx5fJghD6Ez5CgDjhyIwZBjVRhyOA9HjnjiLjoHhdXJcXMcObRwxqVGHn2ZA1Q5VpsUeLUhXCD0MOccCc6BY01A6zYEjRGrl8QD4H5TAu6CAB8a1tcaVPo4iyNwAgFJsdA2BEFtAJfAsHiZdFESLVWbk8J63dYDvsaIJQums02+BdugMJZDzGTz5kljxMTc5iKPHV74rBd7iPWYlClqQ63HpAxvMgCux6QMdpJevGKdgckmTFPYqLa5UK2FQ5ovY2iMMG/h9ekV65g+9KDN8oZLR9gjF3YJKPDBHaOjTaX/M+A0RpiorTtEQHnsCIOSqjNEEF6xTrfaukKE4hXr9G6h9oQIXGNEn/FrD9GP82Po9DjJ1hD50BjRYZAbQ+RGY0Sz2ppC5CCPHdGotpYQAXvFOm2vLvQhcqgxosVJakMEW49J0TtJZYjcaoxQD5pUhSjGME6t2hQhcprHjlCpTRyiWIOBNU5SGqJo46UVTlIWokAaI6Rqk4TIWz0mRbgnKQhR3B9MkP2kxB9HC4QZY9d7FwAAAABJRU5ErkJggg=="
3,Hungary,Marco Rossi,A,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/1280px-Flag_of_Hungary.svg.png
4,Switzerland,Murat Yakin,A,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Switzerland.svg
5,Spain,Luis de la Fuente,B,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/2560px-Flag_of_Spain.svg.png
6,Croatia,Zlatko Dalić,B,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/2560px-Flag_of_Croatia.svg.png
7,Italy,Luciano Spalletti,B,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCYDfPqPTXO4DEGV1z0fkyErErwBBOLwXFQA&s
8,Albania,Sylvinho,B,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/2560px-Flag_of_Albania.svg.png
9,Slovenia,Matjaž Kek,C
10,Denmark,Kasper Hjulmand,C
11,Serbia,Dragan Stojković,C
12,England,Gareth Southgate,C
13,Poland,Michał Probierz,D
14,Netherlands,Ronald Koeman,D
15,Austria,Ralf Rangnick,D
16,France,Didier Deschamps,D
17,Belgium,Domenico Tedesco,E
18,Slovakia,Francesco Calzona,E
19,Romania,Edward Iordănescu,E
20,Ukraine,Serhiy Rebrov,E
21,Turkey,Vincenzo Montella,F
22,Georgia,Willy Sagnol,F
23,Portugal,Roberto Martínez,F
24,Czech Republic,Ivan Hašek,F
